	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subspecies	Name
MGS.hg0768	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0769	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	unclassified	unclassified	unclassified	Rikenellaceae sp.
MGS.hg0770	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0771	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0772	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0773	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0774	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0775	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	unclassified	unclassified	unclassified	Clostridiaceae sp.
MGS.hg0776	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	unclassified	unclassified	Faecalibacterium sp.
MGS.hg0777	Bacteria	Firmicutes	Clostridia	Clostridiales	Erysipelotrichaceae	Holdemanella	unclassified	unclassified	Holdemanella sp.
MGS.hg0778	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	unclassified	unclassified	Oscillibacter sp.
MGS.hg0779	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium neonatale	unclassified	Clostridium neonatale
MGS.hg0780	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0781	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	unclassified	unclassified	Collinsella sp.
MGS.hg0782	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. 343_SSPC	unclassified	Streptococcus sp. 343_SSPC
MGS.hg0783	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0784	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0785	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0786	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0787	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0788	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0789	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0790	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0791	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0792	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0793	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	unclassified	unclassified	Prevotellaceae sp.
MGS.hg0794	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0795	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0796	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0797	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	unclassified	unclassified	Senegalimassilia sp.
MGS.hg0798	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus vestibularis	unclassified	Streptococcus vestibularis
MGS.hg0799	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0800	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0801	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0802	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	unclassified	unclassified	Prevotellaceae sp.
MGS.hg0803	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg0804	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0805	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0806	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidetes sp.
MGS.hg0807	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma massiliensis	unclassified	Enorma massiliensis
MGS.hg0808	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg0809	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0810	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0811	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0812	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0813	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0814	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massiliomicrobiota	Massiliomicrobiota sp. An80	unclassified	Massiliomicrobiota sp. An80
MGS.hg0815	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0816	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0817	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	unclassified	unclassified	Prevotellaceae sp.
MGS.hg0818	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unclassified	unclassified	Rothia sp.
MGS.hg0819	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0820	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0821	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidetes sp.
MGS.hg0822	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg0823	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	Anaerotignum lactatifermentans	unclassified	Anaerotignum lactatifermentans
MGS.hg0824	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0825	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg0826	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0827	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0828	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides congonensis	unclassified	Bacteroides congonensis
MGS.hg0829	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea sp. Marseille-P4003	unclassified	Dorea sp. Marseille-P4003
MGS.hg0830	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Dakarella	Dakarella massiliensis	unclassified	Dakarella massiliensis
MGS.hg0831	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0832	Bacteria	Firmicutes	Negativicutes	Veillonellales	unclassified	unclassified	unclassified	unclassified	Veillonellales sp.
MGS.hg0833	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella	Eisenbergiella tayi	unclassified	Eisenbergiella tayi
MGS.hg0834	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	bacterium OL-1	unclassified	bacterium OL-1
MGS.hg0835	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0836	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	unclassified	unclassified	Eubacterium sp.
MGS.hg0837	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis	unclassified	Anaerotruncus colihominis
MGS.hg0838	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0839	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0840	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0841	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0842	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0843	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0844	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0845	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0846	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0847	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0848	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0849	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0850	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0851	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0852	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg0853	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0854	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0855	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0856	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	unclassified	unclassified	Bilophila sp.
MGS.hg0857	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0858	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter sanguinis	unclassified	Turicibacter sanguinis
MGS.hg0859	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus	Ruminococcaceae bacterium	unclassified	Ruminococcaceae bacterium
MGS.hg0860	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg0861	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0862	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	unclassified	unclassified	Pseudoflavonifractor sp.
MGS.hg0863	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0864	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0865	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0866	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	unclassified	unclassified	unclassified	unclassified	Victivallales sp.
MGS.hg0867	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0868	Eukaryota	Stramenopiles	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 4	unclassified	Blastocystis sp. subtype 4
MGS.hg0869	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg0870	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0871	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp. AT3	unclassified	Anaerotruncus sp. AT3
MGS.hg0872	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0873	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	unclassified	Clostridium perfringens
MGS.hg0874	Archaea	Euryarchaeota	Thermoplasmata	unclassified	unclassified	unclassified	unclassified	unclassified	Thermoplasmata sp.
MGS.hg0875	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0876	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0877	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0878	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	unclassified	unclassified	Eubacterium sp.
MGS.hg0879	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Mordavella	unclassified	unclassified	Mordavella sp.
MGS.hg0880	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0881	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0882	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0883	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0884	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	unclassified	unclassified	unclassified	unclassified	Eggerthellales sp.
MGS.hg0885	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0886	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0887	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0888	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0889	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium paraputrificum	unclassified	Clostridium paraputrificum
MGS.hg0890	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii	unclassified	Enterobacter roggenkampii
MGS.hg0891	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0892	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	unclassified	unclassified	unclassified	unclassified	Eggerthellales sp.
MGS.hg0893	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Phocea	Phocea massiliensis	unclassified	Phocea massiliensis
MGS.hg0894	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0895	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0896	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0897	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	unclassified	unclassified	Prevotellaceae sp.
MGS.hg0898	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg0899	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0900	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0901	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0902	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus Methanomassiliicoccus intestinalis	unclassified	Candidatus Methanomassiliicoccus intestinalis
MGS.hg0903	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0904	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg0905	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0906	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0907	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	unclassified	Klebsiella oxytoca
MGS.hg0908	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0909	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0910	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0911	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0912	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0913	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	unclassified	unclassified	Coprobacillus sp.
MGS.hg0914	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0915	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0916	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0917	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0918	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0919	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0920	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0921	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0922	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Lachnospiraceae bacterium OF09-6	unclassified	Lachnospiraceae bacterium OF09-6
MGS.hg0923	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0924	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	unclassified	Clostridioides difficile
MGS.hg0925	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. Marseille-P3684	unclassified	Bacteroides sp. Marseille-P3684
MGS.hg0926	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	unclassified	unclassified	unclassified	unclassified	Victivallales sp.
MGS.hg0927	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0928	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0929	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0930	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0931	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0932	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0933	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0934	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	unclassified	unclassified	unclassified	Bacteroidaceae sp.
MGS.hg0935	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0936	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus	unclassified	Lactobacillus acidophilus
MGS.hg0937	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	unclassified	unclassified	unclassified	Elusimicrobiaceae sp.
MGS.hg0938	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0939	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0940	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0941	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0942	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0943	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	Lactobacillus plantarum subsp. plantarum	Lactobacillus plantarum subsp. plantarum
MGS.hg0944	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0945	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0946	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0947	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0948	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	unclassified	Enterobacter cloacae
MGS.hg0949	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0950	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0951	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0952	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg0953	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0954	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0955	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0956	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	unclassified	unclassified	unclassified	unclassified	Erysipelotrichales sp.
MGS.hg0957	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	unclassified	unclassified	Alistipes sp.
MGS.hg0958	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0959	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0960	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0961	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0962	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0963	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0964	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0965	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	Lactobacillus delbrueckii subsp. bulgaricus	Lactobacillus delbrueckii subsp. bulgaricus
MGS.hg0966	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0967	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0968	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0969	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ndongoniae	unclassified	Bacteroides ndongoniae
