	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subspecies	Name
MGS.hg0616	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0617	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	unclassified	unclassified	Prevotella sp.
MGS.hg0618	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0619	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	unclassified	unclassified	unclassified	unclassified	Erysipelotrichales sp.
MGS.hg0620	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. An31A	unclassified	Alistipes sp. An31A
MGS.hg0621	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0622	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0623	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0624	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0625	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0626	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0627	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0628	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0629	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	unclassified	Collinsella intestinalis
MGS.hg0630	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Allisonella	Allisonella histaminiformans	unclassified	Allisonella histaminiformans
MGS.hg0631	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0632	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0633	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0634	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified	unclassified	Ruminococcus sp.
MGS.hg0635	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0636	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	unclassified	Anaerostipes caccae
MGS.hg0637	Bacteria	Firmicutes	Negativicutes	Veillonellales	unclassified	unclassified	unclassified	unclassified	Veillonellales sp.
MGS.hg0638	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0639	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	unclassified	unclassified	unclassified	Veillonellaceae sp.
MGS.hg0640	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. AF22-8LB	unclassified	Eubacterium sp. AF22-8LB
MGS.hg0641	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0642	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0643	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0644	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	unclassified	Bacteroides cellulosilyticus
MGS.hg0645	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0646	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0647	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella multacida	unclassified	Mitsuokella multacida
MGS.hg0648	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0649	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0650	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0651	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0652	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0653	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0654	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0655	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0656	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0657	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Libanicoccus	unclassified	unclassified	Libanicoccus sp.
MGS.hg0658	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0659	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0660	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0661	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	unclassified	unclassified	Alistipes sp.
MGS.hg0662	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0663	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella lascolaii	unclassified	Prevotella lascolaii
MGS.hg0664	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0665	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	unclassified	unclassified	unclassified	unclassified	Desulfovibrionales sp.
MGS.hg0666	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified	Betaproteobacteria sp.
MGS.hg0667	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0668	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0669	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified	unclassified	unclassified	unclassified	Burkholderiales sp.
MGS.hg0670	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0671	Bacteria	Actinobacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Actinobacteria sp.
MGS.hg0672	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unclassified	unclassified	Clostridium sp.
MGS.hg0673	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0674	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0675	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0676	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0677	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0678	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0679	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis	unclassified	Holdemania filiformis
MGS.hg0680	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0681	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	Pseudoflavonifractor sp. An184	unclassified	Pseudoflavonifractor sp. An184
MGS.hg0682	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridiales bacterium VE202-26	unclassified	Clostridiales bacterium VE202-26
MGS.hg0683	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium disporicum	unclassified	Clostridium disporicum
MGS.hg0684	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella buccae	unclassified	Prevotella buccae
MGS.hg0685	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg0686	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0687	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0688	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0689	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0690	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0691	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0692	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0693	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hungatella	Hungatella hathewayi	unclassified	Hungatella hathewayi
MGS.hg0694	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus	Anaeromassilibacillus sp. An250	unclassified	Anaeromassilibacillus sp. An250
MGS.hg0695	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0696	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0697	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0698	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0699	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0700	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0701	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0702	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0703	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0704	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnospiraceae bacterium 5_1_57FAA	unclassified	Lachnospiraceae bacterium 5_1_57FAA
MGS.hg0705	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg0706	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0707	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0708	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0709	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0710	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	unclassified	unclassified	unclassified	Oscillospiraceae sp.
MGS.hg0711	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridiales bacterium VE202-15	unclassified	Clostridiales bacterium VE202-15
MGS.hg0712	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera micronuciformis	unclassified	Megasphaera micronuciformis
MGS.hg0713	Bacteria	Firmicutes	Negativicutes	Veillonellales	unclassified	unclassified	unclassified	unclassified	Veillonellales sp.
MGS.hg0714	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Ruminococcaceae bacterium AM28-23LB	unclassified	Ruminococcaceae bacterium AM28-23LB
MGS.hg0715	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio fairfieldensis	unclassified	Desulfovibrio fairfieldensis
MGS.hg0716	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0717	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0718	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0719	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0720	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0721	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	unclassified	unclassified	unclassified	unclassified	Desulfovibrionales sp.
MGS.hg0722	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0723	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0724	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0725	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified	Betaproteobacteria sp.
MGS.hg0726	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0727	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
